Index,country,year,delta_Lnrgdpo,delta_Lnlabor_stock,delta_Lncapital_stock,delta_RL,delta_GS,delta_RE,delta_MO
262,Iceland,2002,-0.00241960273381103,-0.0270833371221393,0.0144637449262994,-0.5,-7.1,6.05,-0.0666666666666913
263,Iceland,2003,0.00477920508163976,-0.0085210631719308,0.0186444014467,0.5,2.2,1.5,-1.46666666666671
264,Iceland,2004,0.0525931080583799,0.00910548381743048,0.0300939845679995,1,-7.7,0.25,0.133333333333411
265,Iceland,2005,0.0900471311709108,0.0331582163747299,0.043495291385101,1,3.40000000000001,-5.69999999999999,13.3333333333333
266,Iceland,2006,-0.02700328833253,0.0440133442783504,0.0544449468397001,-0.5,1.15,3.69999999999999,-6.6666666666667
267,Iceland,2007,0.0537402869207497,0.0307032176333495,0.042187660155399,1,4.75,-1.76666666666669,-1.40000000000001
268,Iceland,2008,0.242802343694631,0.01619788218055,0.0275582928163001,-0.5,2.35265,-2.28569999666659,0.3333333333334
269,Iceland,2009,-0.154245754291011,-0.1243628572679,-0.00596972924459926,-2,0.168750000000003,-2.75716772333341,4.3333333333333
270,Iceland,2010,-0.0838800189892801,0.00342831650699971,-0.0102024804095002,-1.5,0.4786,-1.72379894666659,-5.0333333333333
271,Iceland,2011,0.0259388661980111,0.0312280384777601,-0.00517444291000047,-1,-25.7,-0.566666666666706,0.100000000000009
272,Iceland,2012,0.0397848844049697,0.0185347765918804,-0.00280445465909907,-1,12.75,1.1333333333333,0
273,Iceland,2013,-0.00603696306759005,0.0278996752582597,-0.00163316497279986,-1,6.8,0.266666666666708,-0.133333333333411
274,Iceland,2014,0.015852065311579,0.0176937753074702,0.00413333006139993,0.599999999999994,-1.55,0.0333333333332888,1.7
275,Iceland,2015,0.0447535698912116,0.0297531616848099,0.0114951607771001,-3.09999999999999,-0.600000000000001,1.13333333333341,0.0333333333334025
276,Iceland,2016,0.0306588118523301,0.0360076030967598,0.0176636802525003,0.5,5.40000000000001,0.5,-0.0666666666667055
277,Iceland,2017,0.0318018053959097,0.0261676388148704,0.0209731866702985,-8.5,9.8333333333333,0.933333333333295,3.40000000000001
278,Iceland,2018,0.0169033524843503,0.00703945820222973,0.0190081908402,2.8666666666667,2.6666666666667,-0.3333333333333,5.1666666666667
279,Iceland,2019,0.0584801914055699,0.00202132821971013,0.0154089931382,-0.533333333333403,0.933333333333295,0.400000000000006,-0.5
281,Ireland,2001,0.0725104125135996,0.0314350786857212,0.0631531647275008,-2.5,5.14999999999999,0.399999999999992,13.3333333333333
