Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO,d_Lnrgdpo,d_Lnlabor_stock,d_Lncapital_stock,d_RL,d_GS,d_RE,d_MO
454,Poland,2014,13.803703376731,11.570831692003,14.6363463916579,57.4,59.65,69.4333333333333,75.9333333333333,4.05004430332552,4.08849414854393,4.24036705959882,4.32985576234497,0.011005114324200704,0.026830198046400966,0.04292803650510102,-0.10000000000000142,0.14999999999999858,1.2333333333332916,2.0
455,Poland,2015,13.84846921734,11.596391784061,14.6802351090137,60.0,64.6,69.6666666666667,76.0,4.0943445622221,4.16821441078856,4.2437219632967,4.33073334028633,0.04476584060899924,0.02556009205799903,0.043888717355800466,2.6000000000000014,4.949999999999996,0.23333333333340533,0.06666666666670551
456,Poland,2016,13.8693108883592,11.6125599214328,14.71281848331,63.0,61.0,70.6333333333333,77.6666666666667,4.14313472639153,4.11087386417331,4.25750217660614,4.35242616489759,0.020841671019200092,0.016168137371799673,0.03258337429629954,3.0,-3.5999999999999943,0.9666666666665975,1.6666666666666998
457,Poland,2017,13.9130521100411,11.6216251191838,14.7457526340801,58.1,66.3333333333333,71.3333333333333,77.3333333333333,4.06216566385787,4.19469253605638,4.26736372635374,4.3481250829982,0.0437412216819002,0.009065197751001008,0.032934150770099535,-4.899999999999999,5.3333333333333,0.7000000000000028,-0.33333333333339965
458,Poland,2018,13.9617320273834,11.620487704613,14.7826446692992,56.4333333333333,68.4,72.0333333333333,77.3,4.03306000047098,4.22537282462851,4.27712897484473,4.34769395559338,0.04867991734229982,-0.0011374145708007433,0.03689203521910045,-1.6666666666666998,2.0666666666667055,0.7000000000000028,-0.03333333333330302
459,Poland,2019,14.0076555811288,11.635259357318,14.8210516522744,52.0333333333333,70.0333333333334,70.4666666666667,78.6666666666667,3.95188453885328,4.24897131918285,4.25513978476803,4.3652195163575,0.045923553745399914,0.014771652705000804,0.038406982975200066,-4.399999999999999,1.6333333333333968,-1.566666666666606,1.3666666666667027
461,Portugal,2001,12.4467435047203,9.99800669453179,14.502186899712,68.5,51.75,77.6,66.0,4.22683374526818,3.94642443214548,4.35156742718917,4.18965474202643,-0.004242562050499998,0.004650628857969963,0.04036995702579915,1.0,0.6000000000000014,0.19999999999998863,0.06666666666670551
462,Portugal,2002,12.4494532273229,9.99578603354246,14.5367951827735,67.0,50.05,77.35,66.5333333333333,4.20469261939097,3.91302250576123,4.34834057701908,4.19770307520925,0.002709722602599385,-0.00222066098933027,0.03460828306149999,-1.5,-1.7000000000000028,-0.25,0.533333333333303
463,Portugal,2003,12.4444552405408,9.98155958299028,14.5641351489299,66.5,48.75,76.3,67.1333333333333,4.19720194766181,3.88670519744386,4.33467293829041,4.20668069161635,-0.004997986782100838,-0.014226450552179415,0.027339966156400664,-0.5,-1.2999999999999972,-1.0499999999999972,0.5999999999999943
464,Portugal,2004,12.4446118851869,9.97802906507099,14.5899946845717,66.5,49.25,76.45,66.6,4.19720194766181,3.8969093676181,4.33663693237507,4.19870457754634,0.00015664464610054551,-0.003530517919291043,0.02585953564179988,0.0,0.5,0.15000000000000568,-0.533333333333303
465,Portugal,2005,12.5416365456315,9.97499820027495,14.61424795425,68.0,46.85,64.8,66.7333333333333,4.21950770517611,3.84695100868443,4.17130560335823,4.20070457821301,0.09702466044459968,-0.003030864796039978,0.02425326967830088,1.5,-2.3999999999999986,-11.650000000000006,0.13333333333331154
466,Portugal,2006,12.5883215818227,9.98555717169863,14.6363380786759,66.5,46.85,66.6333333333333,67.4666666666667,4.19720194766181,3.84695100868443,4.19920495283824,4.2116336487452,0.046685036191201235,0.010558971423680674,0.022090124425899305,-1.5,0.0,1.8333333333333002,0.7333333333333911
